id,title,type,business,topics,link,widen
1,Endosafe® nexgen-PTS™ Product Sheet,sheet,endosafe,endosafe,,https://p.widencdn.net/ukxgbq/MS-PS-nexgen-pts
2,Endosafe® nexgen-PTS™ LAL Assay Guide,sheet,endosafe,endosafe,,https://p.widencdn.net/yvr4ul/MS-nexgen-pts-10.2-assay-guide
3,Endosafe® Cartridge Technology Brochure,sheet,endosafe,endosafe,,https://p.widencdn.net/ioqkwo/MS-cartridge-brochure
4,Atlantic Horseshoe Crab Brochure ,sheet,endosafe,endosafe,,https://fulfillment-assets.s3.amazonaws.com/CHALAB/proofs/MS_AHCCB_B.pdf
5,Bacterial Endotoxin Testing Solutions,sheet,endosafe,endosafe,,https://p.widencdn.net/69ndnn/MS-PS-Bacterial_endotoxin_Testing_Solutions
6,Endosafe® Nexus™ Product Sheet,sheet,endosafe,endosafe,,https://p.widencdn.net/txpywq/MS-PS-nexus
7,Limulus Amebocyte Lysate (LAL) Accessories for Bacterial Endotoxin Testing,sheet,endosafe,endosafe,,https://p.widencdn.net/tkyrwe/MS-TS-lal-accessories
8,Data Integrity FAQ (Conquering Data Integrity by Eliminating Human Error),sheet,endosafe,endosafe,,https://p.widencdn.net/fjaqvx/MS-OS-conquering-data-integrity
9,Endosafe® nexgen-MCS™ Product Sheet,sheet,endosafe,endosafe,,https://p.widencdn.net/hvrjta/MS-PS-Endosafe-nexgen-MCS
10,Charles River Cortex™ Brochure ,sheet,endosafe,endosafe,,https://p.widencdn.net/a0hk3v/MS-cortex-brochure-EU
11,Endosafe® nexgen-PTS™ and Regulatory Requirements: FDA Guidelines,sheet,endosafe,endosafe,,https://p.widencdn.net/6urzmd/MS-TS-nexgen-pts-regulatory-requirements-fda
12,Endosafe® nexgen-PTS™ and Regulatory Requirements: USP BET <85> or EP BET <2.6.14>,sheet,endosafe,endosafe,,https://p.widencdn.net/vliumh/MS-TS-nexgen-pts-regulatory-requirements-uspep
13,Product Validation Using the Endosafe®-MCS™ ,sheet,endosafe,endosafe,,https://p.widencdn.net/zqj5hp/MS-PS-endosafe-nexgen-mcs
14,Six Sigma Case Study - A Comparison Study of Conventional Bacterial Endotoxin Testing and the Endosafe® Cartridge Technology ,sheet,endosafe,endosafe,,https://p.widencdn.net/3ileic/MS-CS-comparison-study-of-conventional-bet-and-endosafe
15,Considerations When Choosing a Rapid Method (Pharma) ,sheet,celsis,pharma,,https://p.widencdn.net/orvfzz/MS-PS-considerations-when-choosing-rapid-method-pharma
16,Celsis Accel® System for Rapid Microbial Screening,sheet,celsis,pharma,,https://p.widencdn.net/ydtc72/MS-PS-celsis-accel
17,Celsis Advance II™ System for Rapid Microbial Testing,sheet,celsis,pharma,,https://p.widencdn.net/jb1fj8/MS-PS-celsis-advance-II
18,Celsis AMPiScreen Enzyme Tech Report (All Industries),sheet,celsis,pharma,,https://p.widencdn.net/7tfvir/MS-CS-celsis-enzyme-technology
19,Charles River Microbial Solutions for Cosmetics,sheet,celsis,"cosmetics, accugenix",,https://p.widencdn.net/uectzb/MS-OS-charles-river-solutions-for-cosmetic
20,Case Study: Amway,sheet,celsis,cosmetics,,https://p.widencdn.net/0n4yj5/MS-CS-case-study-amway
21,Unilever Global Rollout of Celsis AMPiScreen® Benefits,sheet,celsis,cosmetics,,https://p.widencdn.net/qkzop5/MS-CS-unilevers-global-rollout-of-celsis-ampiscreen
22,Considerations When Choosing a Rapid Method (Personal Care & Cosmetics) ,sheet,celsis,cosmetics,,https://p.widencdn.net/lwc288/MS-PS-choosing-rapid-method-home-beauty
23,How Celsis® Rapid Detection Systems Provide Operational Benefits to Unilever,sheet,celsis,cosmetics,,https://p.widencdn.net/dwk9wd/MS-TS-how-celsis-rapid-detection-systems-provide
24,A Conversation with Procter & Gamble's Neil Lewis on Rapid Microbial Methods,sheet,celsis,cosmetics,,https://p.widencdn.net/segzsk/MS-TS-conversation-with-procter-and-gamble
25,"Celsis Innovate® for Rapid Microbial Screening Product Sheet, Celsis Innovate for Rapid Microbial Screening",sheet,celsis,food,,https://p.widencdn.net/eavrgc/MS-PS-celsis-innovate-for-rapid-microbial-screening
26,Lakeland Dairies Improves Their Bottom Line with Rapid Microbial Detection from Charles River,sheet,celsis,food,,https://p.widencdn.net/qrlzch/MS-PS-celsis-lakeland-dairy-testimonial
27,How Celsis® Rapid Detection Helps FrieslandCampina Keep Pace with its Expanding Business,sheet,celsis,food,,https://p.widencdn.net/7jpiha/MS-TS-how-celsis-helps-frieslandCampina
28,"2018 Microbial Solutions Catalog for Dairy, Beverage, and Food Industries",sheet,celsis,food,,https://p.widencdn.net/cbwlfs/MS-catalog-18-dairy-beverage-and-food-us
29,Accugenix® FunITS Fungal Identification Service,sheet,accugenix,accugenix,,https://p.widencdn.net/lo6syh/MS-PS-accugenx-id-funits
30,Accugenix® Microbial ID & Strain Typing Overview,sheet,accugenix,accugenix,,https://p.widencdn.net/x1ewrv/MS-Accugenix-Micro-Ident-and-Strain-Typing-Services-NA
31,Accugenix® AccuPro-ID MALDI-TOF Identification Service,sheet,accugenix,accugenix,,https://p.widencdn.net/w8ktto/MS-PS-accupro-id
32,Tracking & Trending Tools for Environmental Monitoring,sheet,accugenix,accugenix,,https://p.widencdn.net/dni3ec/MS-PS-tracking-and-trending
33,Accugenix® BacSeq Bacterial Identification Service,sheet,accugenix,accugenix,,https://p.widencdn.net/lqpelx/MS-PS-accugenx-id-bacseq
34,Accugenix®  Bacterial Library Comparison ,sheet,accugenix,accugenix,,https://p.widencdn.net/zvcjnv/MS-accugenix-bacterial-library-comparison
35,Axcess®  MALDI-TOF System Brochure,sheet,accugenix,accugenix,,https://p.widencdn.net/de9lur/MS-TS-axcess-system-products
36,AccuGENX-ST®  Strain Typing Services,sheet,accugenix,accugenix,,https://p.widencdn.net/hapxmp/MS-PS-accuGENX-ST
37,Custom QC Solutions,sheet,accugenix,accugenix,,https://p.widencdn.net/5txvj6/MS-PS-custom-solutions
38,Attributes of the AccuGENX-ID® Sequence-Based Microbial Identification Method,sheet,accugenix,accugenix,,To be updated by 8/6
39,AccuPRO-ID® Case Studies: MALDI-TOF vs. Other ID Methods,sheet,accugenix,accugenix,,https://p.widencdn.net/6ebuvs/MS-TS-accupro-id-bacterial-identification-using-maldi-tof-technology
40,Case Study: Strain Analysis Through Sequence Typing ,sheet,accugenix,accugenix,,https://p.widencdn.net/nii1sb/MS-TS-highly-accurate-strain-analysis
41,The Utility of ITS2 Sequencing for Identifying Fungal Contaminants ,sheet,accugenix,accugenix,,https://p.widencdn.net/78bngl/MS-TS-utility-of-ITS2-sequencing-for-identifying-fungal-contaminants